Beam,Thickness,Utilisation
518,4.8,0.969001
518,5.3,0.852884
518,6.2,0.6722
518,6.7,0.725048
518,7.2,0.861795
518,7.7,0.726474
518,8.1,0.664662
518,8.6,0.441172
518,9.1,0.604187
518,9.6,0.407406
518,10.5,0.465498
518,11,0.511395
518,11.5,0.428407
518,12.9,0.517228
518,13.4,0.537677
518,14.3,0.430685
518,14.8,0.47787
575,7.2,0.965804
575,7.7,0.943861
575,8.1,0.882035
575,8.6,0.816487
575,9.1,0.734938
575,9.6,0.750014
575,10,0.692619
575,10.5,0.619224
575,11,0.634753
575,11.5,0.604187
575,11.9,0.610301
575,12.4,0.514477
575,12.9,0.551315
575,13.4,0.520048
575,13.8,0.482372
575,14.3,0.468214
575,14.8,0.496406
575,15.3,0.437864
575,15.7,0.428045
575,16.2,0.413611
636,2.9,0.997841
636,3.4,0.8958
636,3.9,0.775271
636,4.3,0.717484
636,4.8,0.635834
636,5.3,0.539426
636,5.8,0.55388
636,6.2,0.443747
636,6.7,0.455566
636,7.2,0.445745
701,5.8,0.769512
701,6.2,0.671109
701,6.7,0.489723
701,9.1,0.437041
701,9.6,0.665532
701,13.4,0.561458
770,4.3,0.846415
770,4.8,0.912087
770,5.3,0.507624
770,5.8,0.937909
770,6.2,0.845294
770,6.7,0.673122
770,7.2,0.496608
770,8.1,0.51015
770,10.5,0.486547
770,11,0.495568
770,14.3,0.405906
843,5.3,0.755276
843,5.8,0.479578
843,6.2,0.454952
843,7.2,0.489059
843,7.7,0.408242
843,8.1,0.602069
843,11,0.407114
920,2,0.878922
920,2.4,0.702086
920,2.9,0.544102
920,3.4,0.430681
1001,5.3,0.975567
1001,5.8,0.798611
1001,6.2,0.682594
1001,7.7,0.542026
1001,8.1,0.449097
1001,10.5,0.57485
1086,3.4,0.876878
1086,4.3,0.845435
1086,4.8,0.739397
1086,5.8,0.499879
1086,6.7,0.859267
1086,7.2,0.726778
1086,8.1,0.961276
1086,12.4,0.426489
1086,15.3,0.577914
1086,15.7,0.417704
1175,3.9,0.608439
1175,4.3,0.440186
1175,4.8,0.662579
1175,5.3,0.402082
1175,5.8,0.699519
1175,6.2,0.403632
1175,6.7,0.60382
1175,7.2,0.787185
1175,7.7,0.43077
1175,8.1,0.423601
1175,10.5,0.758191
1268,2.9,0.688644
1268,3.9,0.66654
1268,4.8,0.779601
1268,5.8,0.758582
1268,6.2,0.574709
1268,9.1,0.518571
1268,11.5,0.409803
